,0
1856,alcoholism
1857,I
1858,21
1859,Minitab's
1860,I
1861,slow)
1862,sewing
1863,(doom)scroll
1864,it
1865,reading
1866,a
1867,from
1868,for
1869,when
1870,brush
1871,possible
1872,working
1873,Barbara.
1874,few
1875,mountain
1876,banking
1877,of
1878,true
1879,much
1880,"long,"
1881,rent
1882,news
1883,up
1884,(Winners
1885,finally
1886,garden
1887,"news,"
1888,my
1889,some
1890,trying
1891,renting
1892,my
1893,at
1894,yoga
1895,teaching
1896,grateful
1897,news
1898,I
1899,phone.
1900,around
1901,out
1902,I've
1903,is
1904,"Netflix/HBO,"
1905,"biking,"
1906,after
1907,social
1908,try
1909,on
1910,and
1911,or
1912,"Doubt"","
1913,up
1914,been
1915,"meals,"
1916,remotely.
1917,"working,"
1918,lot
1919,surf
1920,depression
1921,"Stacey,"
1922,spent
1923,left
1924,Project
1925,a
1926,playing
1927,excessive
1928,bike
1929,concerns.
1930,I
1931,this
1932,new
1933,how
1934,the
1935,the
1936,on
1937,will
1938,rather
1939,my
1940,surfing
1941,lot
1942,lake
1943,cat
1944,"first,"
1945,series)
1946,for
1947,of
1948,learned
1949,out
1950,I'm
1951,club.
1952,detail
1953,games
1954,I
1955,I
1956,of
1957,trying
1958,spent
1959,a
1960,two
1961,a
1962,with
1963,board
1964,getting
1965,hobbies:
1966,went
1967,I
1968,if
1969,quarantine
1970,finished
1971,also
1972,little
1973,shape
1974,take
1975,do
1976,I've
1977,my
1978,some
1979,into
1980,political
1981,quarantine
1982,I
1983,crossword
1984,of
1985,so
1986,I
1987,levels
1988,Some
1989,nothing
1990,knew
1991,the
1992,"""We're"
1993,Crossing
1994,and
1995,tons
1996,"skateboarding,"
1997,less
1998,lot
1999,hasn’t
2000,much
2001,"articles,"
2002,I
2003,Been
2004,undergrad
2005,was
2006,my
2007,a
2008,and
2009,to
2010,have
2011,to
2012,the
2013,called
2014,tv.
2015,the
2016,and
2017,learn
2018,have
2019,getting
2020,"surfing,"
2021,taking
2022,honestly
2023,and
2024,"room,"
2025,bought
2026,a
2027,groups
2028,progressive
2029,circumstances
2030,&
