,0
1885,move
1886,foundation
1887,:).
1888,to
1889,more
1890,have
1891,of
1892,so
1893,to
1894,in
1895,and
1896,experiencing
1897,to
1898,liked
1899,I
1900,business
1901,get
1902,solutions
1903,this
1904,many
1905,my
1906,sector.
1907,the
1908,a
1909,felt
1910,excited
1911,and
1912,issues
1913,and
1914,policy
1915,my
1916,connecting
1917,on
1918,--
1919,am
1920,and
1921,to
1922,and
1923,expertise
1924,building
1925,I
1926,to
1927,to
1928,better
1929,I
1930,working
1931,the
1932,would
1933,"environment,"
1934,I
1935,Barbara.
1936,experience/skills/knowledge
1937,had
1938,forward
1939,career
1940,because
1941,to
1942,with
1943,environment
1944,"2020,"
1945,better
1946,come
1947,come
1948,decided
1949,to
1950,exposure
1951,move
1952,I've
1953,decided
1954,find
1955,degree
1956,an
1957,looking
1958,I
1959,effects
1960,I
1961,in
1962,and
1963,to
1964,to
1965,a
1966,solve
1967,to
1968,I
1969,"little,"
1970,the
1971,organisms.
1972,knowledge
1973,community
1974,all
1975,passionate
1976,the
1977,Practical
1978,making
1979,our
1980,destruction
1981,the
1982,"resources,"
1983,consumer
1984,environment
1985,"degree,"
1986,looking
1987,because
1988,on
1989,are
1990,come
1991,affected
1992,haven't
1993,program
1994,Looking
1995,into
1996,real
1997,here.
1998,that
1999,my
2000,being
2001,who
2002,to
2003,improve
2004,the
2005,career
2006,ultimately
2007,wanted
2008,resolve
2009,the
2010,products
2011,better
2012,wide-range
2013,in
2014,able
2015,start
2016,rain
2017,make
2018,relation
2019,wanted
2020,to
2021,I
2022,problem
2023,awarded
2024,environmental
2025,am
2026,network
2027,degree
2028,faculty
2029,and
2030,solutions
2031,strong
2032,within
2033,help
2034,passionate
2035,students
2036,"in-person!),"
2037,in
2038,UCSB
2039,learning
2040,econ.
2041,devote
2042,(hopefully)
2043,and
2044,environmental
2045,interested
2046,is
2047,decided
2048,am
2049,in
2050,to
2051,been
2052,looking
2053,undergraduate
2054,so
2055,exploring
2056,haven’t
2057,help
2058,whatever
2059,academic
2060,degradation.
2061,I
2062,forward
2063,after
2064,the
2065,want
2066,the
2067,marine
2068,tools
2069,location
2070,the
2071,forward
2072,achieve
2073,can
2074,approach
2075,be
2076,and
2077,to
2078,am
2079,I
2080,ocean
2081,connections
2082,to
2083,And
2084,Bren
2085,receive
2086,grad
2087,am
2088,marine
2089,to
2090,using
2091,to
2092,agriculture
2093,gaining
2094,so
2095,and
2096,something
2097,meeting
2098,and
2099,perform
2100,and
2101,out
2102,go
2103,simultaneously
2104,I
2105,Master's
2106,and
2107,seeing
2108,to
2109,looked
2110,which
2111,wanted
2112,am
2113,I
2114,for
2115,my
2116,that
2117,career
2118,that
2119,I
2120,is
2121,that.
2122,learn
2123,I
2124,to
2125,this
2126,"small,"
2127,and
2128,my
2129,staff
2130,Bren
2131,protection
2132,my
2133,visiting
2134,which
2135,knowledge
2136,very
2137,finishing
2138,nonprofit
2139,projects.
2140,
2141,energy
2142,in
2143,most
2144,excited
2145,a
